Celsius,Farenheit,Humidity
25.3,77.54,72.048012154089
,,
24.7,76.46,79.915940671697
24.2,75.56,82.851600819299
23.6,74.48,84.845450976062
25.0,77.0,78.497647216551
24.8,76.64,81.913603026734
25.0,77.0,83.452626665984
27.0,80.6,74.137240537203
26.5,79.7,74.05412191191
27.0,80.6,74.137240537203
27.0,80.6,69.735359877774
27.0,80.6,69.735359877774
28.4,83.12,61.926187831894
30.0,86.0,55.077490108744
31.0,87.8,52.012926301375
32.0,89.6,46.178444191385
32.6,90.68,43.810562468963
34.5,94.1,37.935396387147
,,
35.8,96.44,28.987474063118
36.0,96.8,28.670052108194
36.0,96.8,28.855017383349
,,
,,
37.0,98.6,25.44329672745
36.4,97.52,26.982520992368
35.0,95.0,33.989852040129
33.6,92.48,35.823795868444
32.0,89.6,41.766135654323
30.2,86.36,50.849507527478
29.2,84.56,54.880802739134
28.7,83.66,59.003756872684
28.0,82.4,61.837259550781
27.1,80.78,65.991915025633
26.2,79.16,70.01552593241
25.6,78.08,73.903563829241
25.1,77.18,78.031193288303
24.7,76.46,80.903290653743
24.0,75.2,84.887414796713
25.2,77.36,80.967593771089
27.2,80.96,71.942244077791
29.4,84.91999999999999,61.014400994541
30.9,87.61999999999999,51.98758579514
33.0,91.4,42.835009981268
,,
35.1,95.18,33.802100637796
35.1,95.18,32.953779899627
,,
36.1,96.98,28.881760314238
34.8,94.64,31.838151566275
33.8,92.84,33.877703312807
32.1,89.78,39.982675468882
31.1,87.98,45.938559286214
29.7,85.46000000000001,52.989140588175
28.7,83.66,56.845759312122
27.6,81.68,60.985325206784
26.7,80.06,65.909488185569
26.1,78.98,70.866866126889
25.4,77.72,74.786779220909
24.8,76.64,77.987482416684
24.1,75.38,79.834842528315
25.3,77.54,75.697743209587
27.6,81.68,62.907853484035
,,
,,
34.5,94.1,33.853206258263
35.3,95.53999999999999,31.974079577788
37.0,98.6,28.936968311979
36.7,98.06,27.946618335583
36.0,96.8,27.940576968385
36.9,98.41999999999999,27.820607966588
37.0,98.6,26.966616524718
36.3,97.34,25.927661529868
33.7,92.66,34.94945511805
31.8,89.24,39.900338699943
30.6,87.08000000000001,45.804784827684
30.3,86.53999999999999,49.001929906028
29.5,85.1,55.987674690508
28.9,84.02,58.685995676936
28.4,83.12,58.933798751987
26.5,79.7,67.941423992689
25.5,77.9,72.083551442563
25.0,77.0,75.650141607481
25.0,77.0,75.650141607481
28.0,82.4,64.967308354299
30.5,86.9,51.886063852769
35.5,95.9,33.911199296105
38.3,100.94,27.835068261015
36.2,97.16,30.817158879593
36.0,96.8,32.574481984471
30.0,86.0,55.077490108744
